Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-12-14 00:00:00+05:30,205.32964680443013,208.77492348864024,204.98294801966748,206.95477294921875,10563900,0.0,0.0
2015-12-15 00:00:00+05:30,207.36651277418173,211.90604159922327,206.6406134175519,211.4618377685547,15718833,0.0,0.0
2015-12-16 00:00:00+05:30,211.4618305122864,213.98619841445978,210.94178949059952,212.05770874023438,12097338,0.0,0.0
2015-12-17 00:00:00+05:30,212.36108268774072,219.9341867743403,211.9168788500212,218.78575134277344,19369032,0.0,0.0
2015-12-18 00:00:00+05:30,217.50729382396338,218.6340468618351,214.51705459421146,214.9287567138672,16016139,0.0,0.0
2015-12-21 00:00:00+05:30,214.0620467410362,216.46724201546115,213.2928262873884,214.9721221923828,12331769,0.0,0.0
2015-12-22 00:00:00+05:30,215.1237938560502,217.2472935723345,213.21697188041995,213.93203735351562,11579277,0.0,0.0
2015-12-23 00:00:00+05:30,214.90713405034853,218.1790549940929,214.5170996201525,217.50733947753906,12919467,0.0,0.0
2015-12-24 00:00:00+05:30,217.5290306021388,218.2440817471908,215.8822360655692,216.80313110351562,11901877,0.0,0.0
2015-12-28 00:00:00+05:30,216.81390966207238,219.66330855496184,216.68390302605337,218.9374237060547,12885935,0.0,0.0
2015-12-29 00:00:00+05:30,218.93745629971977,220.73592509246083,218.2332246541743,220.0208740234375,14913870,0.0,0.0
2015-12-30 00:00:00+05:30,219.9341851900015,220.15086293148974,217.1172877638419,217.65899658203125,8151610,0.0,0.0
2015-12-31 00:00:00+05:30,217.42063996469415,220.95258822188913,216.48889679493288,219.8474884033203,18483713,0.0,0.0
2016-01-01 00:00:00+05:30,218.8074201514001,220.7792454803435,218.46073576088267,220.01002502441406,5416562,0.0,0.0
2016-01-04 00:00:00+05:30,217.76735952641326,219.67418172017918,213.80204070307235,215.66552734375,30170947,0.0,0.0
2016-01-05 00:00:00+05:30,216.7489040539703,218.85073583860782,216.03385309895305,217.79981994628906,14946239,0.0,0.0
2016-01-06 00:00:00+05:30,218.33070151970546,225.00457813836778,216.77057846279516,223.6611328125,26759864,0.0,0.0
2016-01-07 00:00:00+05:30,221.2451071381122,222.7510607850581,218.42822426957886,219.5549774169922,19739943,0.0,0.0
2016-01-08 00:00:00+05:30,221.0175933977657,223.81280846606384,220.30252795242174,222.26351928710938,21313199,0.0,0.0
2016-01-11 00:00:00+05:30,220.1400434317524,229.85831559754763,219.06745961234898,227.8648223876953,29016443,0.0,0.0
2016-01-12 00:00:00+05:30,228.60155699871387,230.8550635282874,225.5896493910729,226.5322265625,23373377,0.0,0.0
2016-01-13 00:00:00+05:30,228.18983392878874,236.13130442423247,226.9113918866168,233.33607482910156,71802356,0.0,0.0
2016-01-14 00:00:00+05:30,230.51918597239523,234.23532501627102,228.17900846765409,230.04248046875,27823189,0.0,0.0
2016-01-15 00:00:00+05:30,231.79764350292703,236.0771449690892,230.8984018720038,232.56686401367188,28767318,0.0,0.0
2016-01-18 00:00:00+05:30,232.93520940889573,234.87453303742072,218.43906361533644,220.3350372314453,27254669,0.0,0.0
2016-01-19 00:00:00+05:30,222.9677507216408,227.47476326556642,219.73915126171534,226.13133239746094,21489315,0.0,0.0
2016-01-20 00:00:00+05:30,224.24618781009107,224.24618781009107,214.51708239892608,217.66983032226562,45114225,0.0,0.0
2016-01-21 00:00:00+05:30,220.48675058966492,222.26355164615845,211.63520357835517,213.2603302001953,31768619,0.0,0.0
2016-01-22 00:00:00+05:30,215.39464223783318,219.06743096712333,215.39464223783318,217.58314514160156,23682648,0.0,0.0
2016-01-25 00:00:00+05:30,218.8507547141282,220.74674282410305,216.68391942528197,217.53982543945312,13099564,0.0,0.0
2016-01-27 00:00:00+05:30,218.43907903472584,218.8507667692877,216.02304974376474,216.5430908203125,17251028,0.0,0.0
2016-01-28 00:00:00+05:30,216.9006081253365,221.4076352890921,216.05553601198588,220.3458709716797,23074633,0.0,0.0
2016-01-29 00:00:00+05:30,220.79005765552003,225.3512538999465,220.58421381889255,224.35450744628906,19177163,0.0,0.0
2016-02-01 00:00:00+05:30,225.3404334318742,225.74130170732832,222.22018725144503,223.2494354248047,9918809,0.0,0.0
2016-02-02 00:00:00+05:30,223.2494350258033,223.79114382847345,214.62541526566855,216.93310546875,14771279,0.0,0.0
2016-02-03 00:00:00+05:30,214.0836960888709,215.3838058309592,211.266813344381,212.65357971191406,15691478,0.0,0.0
2016-02-04 00:00:00+05:30,214.0837029334668,216.900600232485,209.2516593361559,210.8442840576172,18203784,0.0,0.0
